d4j_jsoup_22,matched,matched,matched,matched,matched,matched,matched,matched,matched,matched
d4j_jsoup_26,not_matched,matched,matched,matched,matched,matched,matched,matched,matched,matched
d4j_jsoup_66,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched
d4j_jsoup_89,matched,matched,matched,matched,matched,matched,matched,matched,matched,matched
d4j_lang_20,partially_matched,matched,matched,matched,matched,matched,matched,matched,matched,matched
d4j_lang_33,matched,matched,matched,matched,matched,matched,matched,matched,matched,matched
d4j_lang_39,matched,matched,matched,matched,matched,matched,matched,matched,matched,matched
d4j_lang_47,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched
d4j_lang_57,matched,matched,matched,matched,matched,matched,matched,matched,matched,matched
d4j_math_4,partially_matched,matched,matched,matched,matched,matched,matched,matched,matched,matched
d4j_math_70,not_matched,not_matched,matched,matched,matched,matched,matched,matched,matched,matched
d4j_math_79,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched,not_matched
d4j_mockito_18,matched,matched,matched,matched,matched,matched,matched,matched,matched,matched
d4j_mockito_38,matched,matched,matched,matched,matched,matched,matched,matched,matched,matched
